Назив,Белешка,URL адреса,Ознаке,Коментар
Shakujii Park,,https://www.google.com/maps/place/Shakujii+Park/data=!4m2!3m1!1s0x6018ee904456ebad:0x732f01bc8b59dc53,,
遊歩道 サクラバレルラインコース,,https://www.google.com/maps/place/%E9%81%8A%E6%AD%A9%E9%81%93+%E3%82%B5%E3%82%AF%E3%83%A9%E3%83%90%E3%83%AC%E3%83%AB%E3%83%A9%E3%82%A4%E3%83%B3%E3%82%B3%E3%83%BC%E3%82%B9/data=!4m2!3m1!1s0x6018ef0078c62bd9:0xfb4d1d57d9d7a0e9,,
Shakujii Pond,,https://www.google.com/maps/place/Shakujii+Pond/data=!4m2!3m1!1s0x6018ef7055021557:0x5b45f7ab2a55a3c4,,
Wadabori Green Space,,https://www.google.com/maps/place/Wadabori+Green+Space/data=!4m2!3m1!1s0x6018ee82c2f08d25:0xf35a56a46e7db99f,,
Wada Inari Shrine,,https://www.google.com/maps/place/Wada+Inari+Shrine/data=!4m2!3m1!1s0x6018ee9d30380eb9:0x57ceefa089c9059f,,
Sakura Wanitsuka,,https://www.google.com/maps/place/Sakura+Wanitsuka/data=!4m2!3m1!1s0x601c0b6f02fc3589:0xa09dc00e18cfc077,,
Yamataka Jindai Zakura,,https://www.google.com/maps/place/Yamataka+Jindai+Zakura/data=!4m2!3m1!1s0x601c6d718b0ff7cf:0x8ddd23266eee3237,,
南伊奈ヶ湖,,https://www.google.com/maps/place/%E5%8D%97%E4%BC%8A%E5%A5%88%E3%83%B6%E6%B9%96/data=!4m2!3m1!1s0x601bf52453ce6d03:0x1bbbe55ba11f5ecd,,
Canadian Camp Riding Club,,https://www.google.com/maps/place/Canadian+Camp+Riding+Club/data=!4m2!3m1!1s0x601c6b2e181ee22f:0x1ee3e9251413043d,,
Jindai Botanical Gardens,,https://www.google.com/maps/place/Jindai+Botanical+Gardens/data=!4m2!3m1!1s0x6018f01f98ce7833:0x877d5c81f012d74b,,
Asobi Cafe,,https://www.google.com/maps/place/Asobi+Cafe/data=!4m2!3m1!1s0x60188c16a46a0437:0x9c63a4c11dddb4d3,,
Kanda Jinbocho,,https://www.google.com/maps/place/Kanda+Jinbocho/data=!4m2!3m1!1s0x60188c1407e905c3:0x9f08e766ea7cd351,,
Vowz Bar,,https://www.google.com/maps/place/Vowz+Bar/data=!4m2!3m1!1s0x60188cf263a008c9:0x311b3d949dac6775,,
Zenkōji temple,,https://www.google.com/maps/place/Zenk%C5%8Dji+temple/data=!4m2!3m1!1s0x601d86e28d762787:0xf4fa99fb61340f2e,,
Togakushi-Jinja Chusha,,https://www.google.com/maps/place/Togakushi-Jinja+Chusha/data=!4m2!3m1!1s0x5ff7856ba4a846a9:0x2ab70333f870faea,,
Zenkōji Temple,,https://www.google.com/maps/place/Zenk%C5%8Dji+Temple/data=!4m2!3m1!1s0x60188c9f9d3e9c69:0x8714bb4b9a7c9710,,
Zenkoji,,https://www.google.com/maps/place/Zenkoji/data=!4m2!3m1!1s0x6018926fc2d27bd9:0x4916b852936d6f55,,
Togakushi Shrine,,https://www.google.com/maps/place/Togakushi+Shrine/data=!4m2!3m1!1s0x6018e700229205cb:0x63a8715776c0fdf0,,
Chanoki Inari Shrine,,https://www.google.com/maps/place/Chanoki+Inari+Shrine/data=!4m2!3m1!1s0x60188cf264aad839:0x3c53c7edb3465673,,
Ichigaya Kameoka Hachimangu,,https://www.google.com/maps/place/Ichigaya+Kameoka+Hachimangu/data=!4m2!3m1!1s0x60188c5fb90bf95f:0x5773d9ca6507ac6e,,
Yasukuni-jinja Shrine,,https://www.google.com/maps/place/Yasukuni-jinja+Shrine/data=!4m2!3m1!1s0x60188c680dae43d5:0xb5e754e6bf88ce90,,
Sotobori Park,,https://www.google.com/maps/place/Sotobori+Park/data=!4m2!3m1!1s0x60188d0058b86dd1:0xa280de65d365925d,,
Ushigome Bridge,,https://www.google.com/maps/place/Ushigome+Bridge/data=!4m2!3m1!1s0x60188d5ec4d50a15:0x205d0cc4a890d630,,
Shinmitsuke Bridge,,https://www.google.com/maps/place/Shinmitsuke+Bridge/data=!4m2!3m1!1s0x60188d3b18934a97:0x7cb719e7079bedc,,
Kansen-en Park,,https://www.google.com/maps/place/Kansen-en+Park/data=!4m2!3m1!1s0x60188d17583cf641:0x46fcc8fd5c2f653e,,
Ana-hachimangu Shrine,,https://www.google.com/maps/place/Ana-hachimangu+Shrine/data=!4m2!3m1!1s0x60188d1c05569005:0x9112574bd739605b,,
Hōjōji Temple,,https://www.google.com/maps/place/H%C5%8Dj%C5%8Dji+Temple/data=!4m2!3m1!1s0x60188d1c1588a5f7:0x5d321d43f28e88e8,,
Tsurumaki Minami Park,,https://www.google.com/maps/place/Tsurumaki+Minami+Park/data=!4m2!3m1!1s0x60188d028432f967:0x8d7ab7cc97432d52,,
Togoshi-Ginza Station,,https://www.google.com/maps/place/Togoshi-Ginza+Station/data=!4m2!3m1!1s0x60188ae96c8876cf:0x1b91c5f9c4e51879,,
Ohtoku,,https://www.google.com/maps/place/Ohtoku/data=!4m2!3m1!1s0x600377d9347d295d:0x5675f893e434f2,,
Akimoto,,https://www.google.com/maps/place/Akimoto/data=!4m2!3m1!1s0x601845c178fce0b3:0x6190464c9adddc50,,
Kamakura Seaside Park,,https://www.google.com/maps/place/Kamakura+Seaside+Park/data=!4m2!3m1!1s0x60184f5713ac872d:0xb9d0eff1a50d2fbd,,
Loudia,,https://www.google.com/maps/place/Loudia/data=!4m2!3m1!1s0x601845a8ca0623e1:0xd9c98b195970197b,,
雪ノ下ことり文庫,,https://www.google.com/maps/place/%E9%9B%AA%E3%83%8E%E4%B8%8B%E3%81%93%E3%81%A8%E3%82%8A%E6%96%87%E5%BA%AB/data=!4m2!3m1!1s0x60184549c80f42af:0xbf4eb20ffe32cf97,,
Jōchi-ji,,https://www.google.com/maps/place/J%C5%8Dchi-ji/data=!4m2!3m1!1s0x60184598f63251ff:0x1ed806989b99430a,,
Saryou Kazahana,,https://www.google.com/maps/place/Saryou+Kazahana/data=!4m2!3m1!1s0x601845a24fe2bb8f:0x8da76cfe18dbacc8,,
Blue Bottle Coffee Aoyama,,https://www.google.com/maps/place/Blue+Bottle+Coffee+Aoyama/data=!4m2!3m1!1s0x60188c9fd41452e9:0x47f0a0f583f9166c,,
Blue Bottle Coffee - Shinjuku Cafe,,https://www.google.com/maps/place/Blue+Bottle+Coffee+-+Shinjuku+Cafe/data=!4m2!3m1!1s0x60188cdab7c094ff:0x6a8aa0fa30700f8e,,
Blue Bottle Coffee - Shibuya Cafe,,https://www.google.com/maps/place/Blue+Bottle+Coffee+-+Shibuya+Cafe/data=!4m2!3m1!1s0x60188db56f1c7a89:0x842e161c85415579,,
AMAM DACOTAN,,https://www.google.com/maps/place/AMAM+DACOTAN/data=!4m2!3m1!1s0x60188d3adfee4ea5:0x65cf5b0328cba22,,
FEBRUARY COFFEE ROASTERY,,https://www.google.com/maps/place/FEBRUARY+COFFEE+ROASTERY/data=!4m2!3m1!1s0x60188f94de61defb:0xe551a22e5ad720a1,,
February Cafe,,https://www.google.com/maps/place/February+Cafe/data=!4m2!3m1!1s0x60188ebf4b22ce3d:0x9712550540a451ea,,
STAR CLUB,,https://www.google.com/maps/place/STAR+CLUB/data=!4m2!3m1!1s0x60188cdc825d3389:0xa4d9edd2a2fc9e7,,
HIGHBURY -THE HOME OF BEER-,,https://www.google.com/maps/place/HIGHBURY+-THE+HOME+OF+BEER-/data=!4m2!3m1!1s0x60188cc28098332b:0x92b3cc898fe0d70b,,
The Daps Famous Hood Joint,,https://www.google.com/maps/place/The+Daps+Famous+Hood+Joint/data=!4m2!3m1!1s0x6018efeda1810d05:0xac34e786235a161a,,
Harry's Sandwich Company,,https://www.google.com/maps/place/Harry's+Sandwich+Company/data=!4m2!3m1!1s0x60188cbb3050dcdf:0x1eb2089b7f5722bd,,
Mariya,,https://www.google.com/maps/place/Mariya/data=!4m2!3m1!1s0x6018ee477603a6df:0x5a1e9a95222d823e,,
PATIO,,https://www.google.com/maps/place/PATIO/data=!4m2!3m1!1s0x6018ef007c2437f9:0xab77819665d58994,,
Tachinomi Banpaiya - Kichijoji Branch,,https://www.google.com/maps/place/Tachinomi+Banpaiya+-+Kichijoji+Branch/data=!4m2!3m1!1s0x6018ef6c450189e7:0xe2cb9450ce6d845c,,
トーキョーサワースタンド,,https://www.google.com/maps/place/%E3%83%88%E3%83%BC%E3%82%AD%E3%83%A7%E3%83%BC%E3%82%B5%E3%83%AF%E3%83%BC%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89/data=!4m2!3m1!1s0x60188dfb30670f07:0xb322f813cf634f36,,
居酒屋Daps,,https://www.google.com/maps/place/%E5%B1%85%E9%85%92%E5%B1%8BDaps/data=!4m2!3m1!1s0x6018ef0049a709e5:0xdf3bb90c1cd1bfa5,,
ZenibaSeiniku,,https://www.google.com/maps/place/ZenibaSeiniku/data=!4m2!3m1!1s0x60188a7c6d820d89:0xcc156bbd1770f966,,
磯平 すずらん通り店,,https://www.google.com/maps/place/%E7%A3%AF%E5%B9%B3+%E3%81%99%E3%81%9A%E3%82%89%E3%82%93%E9%80%9A%E3%82%8A%E5%BA%97/data=!4m2!3m1!1s0x60188a7c8ec85555:0x7ec5f7903dafa43a,,
Wagyu Ramen Yoshi,,https://www.google.com/maps/place/Wagyu+Ramen+Yoshi/data=!4m2!3m1!1s0x60188bf84577851f:0x3058c28659cbbb5e,,
La Vita Jiyugaoka,,https://www.google.com/maps/place/La+Vita+Jiyugaoka/data=!4m2!3m1!1s0x6018f4e03337c899:0xa5244a5a12e0dbca,,
MILKLAND HOKKAIDO TOKYO,,https://www.google.com/maps/place/MILKLAND+HOKKAIDO+TOKYO/data=!4m2!3m1!1s0x6018f5110e4d9251:0x592cefdc192ffcb6,,
Kumano Shrine,,https://www.google.com/maps/place/Kumano+Shrine/data=!4m2!3m1!1s0x60188b97e3663f05:0x7c27d16eb7959fc4,,
Jiyugaoka,,https://www.google.com/maps/place/Jiyugaoka/data=!4m2!3m1!1s0x6018f4e1c51d4547:0x395db73328f5ec1,,
Jiyūgaoka Kumano-jinja Shrine,,https://www.google.com/maps/place/Jiy%C5%ABgaoka+Kumano-jinja+Shrine/data=!4m2!3m1!1s0x6018f51fdc87caeb:0x15675b6fd951c993,,
高円寺 It'smo no bar,,https://www.google.com/maps/place/%E9%AB%98%E5%86%86%E5%AF%BA+It'smo+no+bar/data=!4m2!3m1!1s0x6018f344a70edd41:0xaf7d01c974fe8420,,
DINING BAR JAM,,https://www.google.com/maps/place/DINING+BAR+JAM/data=!4m2!3m1!1s0x6018f3505f411cff:0x8075a489fb81bff8,,
CITRABA,,https://www.google.com/maps/place/CITRABA/data=!4m2!3m1!1s0x6018f329b15774f9:0x5259ed4fe8010bd1,,
Craft Bakushu Sakeba Citraba Nakano Shop,,https://www.google.com/maps/place/Craft+Bakushu+Sakeba+Citraba+Nakano+Shop/data=!4m2!3m1!1s0x6018f3974f21f555:0x6d7c5d4ec80d8dbb,,
Tsukikoya Coffee Roaster 山の上店,,https://www.google.com/maps/place/Tsukikoya+Coffee+Roaster+%E5%B1%B1%E3%81%AE%E4%B8%8A%E5%BA%97/data=!4m2!3m1!1s0x6018411133efdab1:0x8db94ec09f98a18b,,
Tsukikoya Specialty Coffee Roaster's shop,,https://www.google.com/maps/place/Tsukikoya+Specialty+Coffee+Roaster's+shop/data=!4m2!3m1!1s0x60185ce231c062eb:0x8d9602f2a01049b6,,
Dogenzaka Church -The Church-,,https://www.google.com/maps/place/Dogenzaka+Church+-The+Church-/data=!4m2!3m1!1s0x60188d5811612fbf:0x8aa9b26f088ad26f,,
Goodbeer faucets,,https://www.google.com/maps/place/Goodbeer+faucets/data=!4m2!3m1!1s0x60188cabcbeef711:0xb3f0a780fbf7532f,,
Meguro River Park,,https://www.google.com/maps/place/Meguro+River+Park/data=!4m2!3m1!1s0x60188b380f040001:0x8bbff4315948a68f,,
TASUICHI,,https://www.google.com/maps/place/TASUICHI/data=!4m2!3m1!1s0x60188ca970e68463:0xab135d50f5dfe39,,
PIZZA SLICE MIYASHITA PARK,,https://www.google.com/maps/place/PIZZA+SLICE+MIYASHITA+PARK/data=!4m2!3m1!1s0x60188d38a4ab5231:0x7a49fdbd10865c1a,,
PIZZA SLICE CAT STREET,,https://www.google.com/maps/place/PIZZA+SLICE+CAT+STREET/data=!4m2!3m1!1s0x60188d3c9813fbcf:0xe6a189c18338c186,,
PIZZA SLICE,,https://www.google.com/maps/place/PIZZA+SLICE/data=!4m2!3m1!1s0x60188b5b150ddc43:0x6774f31fd3f468c1,,
Komeda's Coffee Kichijoji North Exit,,https://www.google.com/maps/place/Komeda's+Coffee+Kichijoji+North+Exit/data=!4m2!3m1!1s0x6018ef9ffb115757:0xeaff4c251c47cb63,,
Beer Bar OHKA THE BESTDAYS 中目黒,,https://www.google.com/maps/place/Beer+Bar+OHKA+THE+BESTDAYS+%E4%B8%AD%E7%9B%AE%E9%BB%92/data=!4m2!3m1!1s0x60188b52c8ab9f77:0xfa0487184d15279d,,
Baja,,https://www.google.com/maps/place/Baja/data=!4m2!3m1!1s0x60188b4eeaf9b8f1:0xf8456596950dc5bb,,
Shinshin,,https://www.google.com/maps/place/Shinshin/data=!4m2!3m1!1s0x60188b7056a8c053:0x13384a23a01595db,,
Hakata Ramen ShinShin Fukuoka PARCO,,https://www.google.com/maps/place/Hakata+Ramen+ShinShin+Fukuoka+PARCO/data=!4m2!3m1!1s0x35419121947f1c8b:0xef0010f2aa747f31,,
Sidewalk Stand,,https://www.google.com/maps/place/Sidewalk+Stand/data=!4m2!3m1!1s0x60188b4e7c440001:0xff47a7b0f270ee9,,
Streamer Coffee Company Nakameguro,,https://www.google.com/maps/place/Streamer+Coffee+Company+Nakameguro/data=!4m2!3m1!1s0x60188b526e70e4f5:0x174f197028b3abf9,,
Isewaki Park,,https://www.google.com/maps/place/Isewaki+Park/data=!4m2!3m1!1s0x60188b3605b2eaab:0xae4e4b41f7892bcb,,
Little Mermaid Honancho,,https://www.google.com/maps/place/Little+Mermaid+Honancho/data=!4m2!3m1!1s0x6018f2fc857da5fb:0x8694d173611229a8,,
Little Mermaid Koenji,,https://www.google.com/maps/place/Little+Mermaid+Koenji/data=!4m2!3m1!1s0x6018f287881ee9ef:0xfa6b5ca56f168d47,,
Wadabori Park,,https://www.google.com/maps/place/Wadabori+Park/data=!4m2!3m1!1s0x6018f25b342610e7:0x8cff7e89e65508b0,,
Wadabori Pond,,https://www.google.com/maps/place/Wadabori+Pond/data=!4m2!3m1!1s0x6018f32efa355055:0x515e43086152946c,,
Omiya Hachiman Shrine,,https://www.google.com/maps/place/Omiya+Hachiman+Shrine/data=!4m2!3m1!1s0x6018f24536639933:0xc38f5270cf068e43,,
Gozanoishi jinja Shrine,,https://www.google.com/maps/place/Gozanoishi+jinja+Shrine/data=!4m2!3m1!1s0x5f8f8a428467be65:0x3222cd6fd24c7634,,
Tsurunoyu Onsen,,https://www.google.com/maps/place/Tsurunoyu+Onsen/data=!4m2!3m1!1s0x5f8566c2a8c82f33:0xaa58388b7b8126c0,,
Statue of Tatsuko,,https://www.google.com/maps/place/Statue+of+Tatsuko/data=!4m2!3m1!1s0x5f8f895e98164a39:0x9cea4ed0ea6477cb,,
Kakunodate Historical Village – Aoyagi Residence,,https://www.google.com/maps/place/Kakunodate+Historical+Village+%E2%80%93+Aoyagi+Residence/data=!4m2!3m1!1s0x5f8f9a68ac3700ed:0xb887fd1542f399da,,
Sakura no Sato,,https://www.google.com/maps/place/Sakura+no+Sato/data=!4m2!3m1!1s0x5f8f9a68a4a30081:0x690f91e0eecd28df,,
Ando Fermenting Flagship Store,,https://www.google.com/maps/place/Ando+Fermenting+Flagship+Store/data=!4m2!3m1!1s0x5f8f9a416b0ff789:0xc7544573c2ced881,,
Yokote Castle,,https://www.google.com/maps/place/Yokote+Castle/data=!4m2!3m1!1s0x5f8f0fe88b841121:0x471f920bfbcef78e,,
Royal Host Ginza Inz,,https://www.google.com/maps/place/Royal+Host+Ginza+Inz/data=!4m2!3m1!1s0x60188b9d4aca7273:0x3c1e96be1a4a52c7,,
Royal Host Dogenzaka,,https://www.google.com/maps/place/Royal+Host+Dogenzaka/data=!4m2!3m1!1s0x60188ca9c4bbe625:0x46d324fc08c1e5ef,,
Royal Host Meguro,,https://www.google.com/maps/place/Royal+Host+Meguro/data=!4m2!3m1!1s0x60188b239dccb6f5:0x899be406610ece21,,
Royal Host LaLa Terrace Harumi Flag,,https://www.google.com/maps/place/Royal+Host+LaLa+Terrace+Harumi+Flag/data=!4m2!3m1!1s0x6018895e74efd91f:0x7c86341e4d8bd849,,
Menya Isshin Minato store,,https://www.google.com/maps/place/Menya+Isshin+Minato+store/data=!4m2!3m1!1s0x600379302ba7237b:0xa7191c1d479ddd2,,
HUGHES PIZZA (ヒューズ ピザ),,https://www.google.com/maps/place/HUGHES+PIZZA+(%E3%83%92%E3%83%A5%E3%83%BC%E3%82%BA+%E3%83%94%E3%82%B6)/data=!4m2!3m1!1s0x6000e7dce5286449:0x594af2ad28e7edc5,,
ZOJIRUSHI ‘GOHAN’ RESTAURANT Tokyo,,https://www.google.com/maps/place/ZOJIRUSHI+%E2%80%98GOHAN%E2%80%99+RESTAURANT+Tokyo/data=!4m2!3m1!1s0x60188b1b82344feb:0xfdd1d2774268aa81,,
Wagyu beef Yakiniku Beef Kitchen Ebisu,,https://www.google.com/maps/place/Wagyu+beef+Yakiniku+Beef+Kitchen+Ebisu/data=!4m2!3m1!1s0x60188b0246d84999:0x19676ad6fdb742b5,,
Minoru Shokudo Mitsukoshi Ginza,,https://www.google.com/maps/place/Minoru+Shokudo+Mitsukoshi+Ginza/data=!4m2!3m1!1s0x60188ba92b137511:0xe40883409e2ee350,,
Katsu Pulipo,,https://www.google.com/maps/place/Katsu+Pulipo/data=!4m2!3m1!1s0x60188dfd071925a9:0x103c1e52b1708d68,,
Sanuki Udon Jinza (Daimon),,https://www.google.com/maps/place/Sanuki+Udon+Jinza+(Daimon)/data=!4m2!3m1!1s0x60188bc79687fae3:0xa51bc58251850b87,,
Washoku Kunimi,,https://www.google.com/maps/place/Washoku+Kunimi/data=!4m2!3m1!1s0x60188ed6f1ad36f5:0xd492bbb51777ef,,
Kamatake Udon,,https://www.google.com/maps/place/Kamatake+Udon/data=!4m2!3m1!1s0x60188bf95f25e619:0xcebcfe3dc0988020,,
Torishige,,https://www.google.com/maps/place/Torishige/data=!4m2!3m1!1s0x60188cd051d6f7c5:0x7fba1d616674939d,,
Syoutaien Shibadaimon,,https://www.google.com/maps/place/Syoutaien+Shibadaimon/data=!4m2!3m1!1s0x601d86f1a0765775:0x2f255a74cac1fc15,,
Kita-Senju Station,,https://www.google.com/maps/place/Kita-Senju+Station/data=!4m2!3m1!1s0x60188e4fa6644e8d:0x6bc4e612ab55d171,,
Touch Know Me 祭店,,https://www.google.com/maps/place/Touch+Know+Me+%E7%A5%AD%E5%BA%97/data=!4m2!3m1!1s0x60188be9f3ea756d:0x62879919dcd79750,,
立ち飲み 串焼き 新橋Touch know me(タッチノーミー),,https://www.google.com/maps/place/%E7%AB%8B%E3%81%A1%E9%A3%B2%E3%81%BF+%E4%B8%B2%E7%84%BC%E3%81%8D+%E6%96%B0%E6%A9%8BTouch+know+me(%E3%82%BF%E3%83%83%E3%83%81%E3%83%8E%E3%83%BC%E3%83%9F%E3%83%BC)/data=!4m2!3m1!1s0x60188bea06a78457:0xea6e472b029ded6a,,
Toyama Park (Okubo Area),,https://www.google.com/maps/place/Toyama+Park+(Okubo+Area)/data=!4m2!3m1!1s0x60188d3b30713e09:0xc209912588ad309e,,
Inetsuki Nishiyama Park,,https://www.google.com/maps/place/Inetsuki+Nishiyama+Park/data=!4m2!3m1!1s0x601892ddab08e7df:0xc68e6e7efb85bdc2,,
Tajima Bridge,,https://www.google.com/maps/place/Tajima+Bridge/data=!4m2!3m1!1s0x60188d0012dcb665:0x6f0d88a007cc0e1d,,
Miyata Bridge,,https://www.google.com/maps/place/Miyata+Bridge/data=!4m2!3m1!1s0x60188d005d04e7bb:0x6bf97e1dbc3fa2ea,,
Taipei Gyōza Choki,,https://www.google.com/maps/place/Taipei+Gy%C5%8Dza+Choki/data=!4m2!3m1!1s0x6018ef5f41a82029:0x4e3eb8f99da2f217,,
Matsuya Nishiogikubo,,https://www.google.com/maps/place/Matsuya+Nishiogikubo/data=!4m2!3m1!1s0x6018ee0fd058b7f1:0xf8e73eb72175e01b,,
Onigiri Bongo,,https://www.google.com/maps/place/Onigiri+Bongo/data=!4m2!3m1!1s0x60188d77025e4dd1:0xc0d12d32a0e070df,,
Tokiwa-Ohashi (Bridge),,https://www.google.com/maps/place/Tokiwa-Ohashi+(Bridge)/data=!4m2!3m1!1s0x6019f9bf9151f7af:0xc7329b27d122237,,
